,embedding_dim,use_drop_out,kernel_regularizer_GRU,kernel_regularizer_Dense,num_GRU_layers,train_loss,val_loss,train_accuracy,val_accuracy,train_recall,val_recall
0,32,True,,,3,0.0953221544623375,0.29669806361198425,0.9722583293914795,0.9350649118423462,0.9644560217857361,0.9285714030265808
1,32,True,,,4,0.12956266105175018,0.35165342688560486,0.9618552327156067,0.9129869937896729,0.9553532600402832,0.9064934849739075
2,32,True,,,5,0.17860855162143707,0.3534963130950928,0.9501517415046692,0.9155844449996948,0.9458170533180237,0.9077922105789185
3,64,True,,,3,0.15086714923381805,0.2855639159679413,0.9579540491104126,0.9233766198158264,0.9484178423881531,0.9194805026054382
4,64,True,,,4,0.14299564063549042,0.3155761659145355,0.9557867646217346,0.916883111000061,0.9510186314582825,0.9155844449996948
5,64,True,,,5,0.1247825175523758,0.34048113226890564,0.9631556272506714,0.9298701286315918,0.9570870995521545,0.9285714030265808
6,128,True,,,3,0.10530053079128265,0.2920602560043335,0.9657564163208008,0.9259740114212036,0.960554838180542,0.9259740114212036
7,128,True,,,4,0.21614043414592743,0.29532691836357117,0.9440832138061523,0.918181836605072,0.9323797225952148,0.916883111000061
8,128,True,,,5,0.12653608620166779,0.4382200837135315,0.9653229117393494,0.9103896021842957,0.9614217877388,0.9064934849739075
9,256,True,,,3,0.10812057554721832,0.344336599111557,0.9692240953445435,0.9194805026054382,0.9609882831573486,0.918181836605072
10,256,True,,,4,0.10641646385192871,0.30776169896125793,0.9696575403213501,0.9389610290527344,0.9631556272506714,0.9350649118423462
11,256,True,,,5,0.1208440288901329,0.4189235270023346,0.9657564163208008,0.9077922105789185,0.9588209986686707,0.9064934849739075
12,512,True,,,3,0.07770418375730515,0.23497655987739563,0.9713914394378662,0.9441558718681335,0.9674902558326721,0.9402597546577454
13,512,True,,,4,0.08924278616905212,0.2723352909088135,0.9683571457862854,0.932467520236969,0.9622886776924133,0.9285714030265808
14,512,True,,,5,0.17070144414901733,0.36632856726646423,0.9527524709701538,0.9220778942108154,0.9475509524345398,0.9155844449996948
